date,arrive_num,acuity_avg,acuity_1_num,acuity_2_num,acuity_3_num,acuity_4_num,acuity_5_num
9/2/22,257,3.098039216,4,50,122,75,4
9/3/22,232,3.218340611,3,23,130,67,6
9/4/22,241,3.004219409,4,49,128,54,2
9/5/22,275,3.163568773,0,34,159,74,2
9/6/22,293,3.130584192,3,47,153,85,3
9/7/22,274,3.177121771,4,34,148,80,5
9/8/22,288,3.063157895,6,42,168,66,3
9/9/22,258,3.007751938,5,43,158,49,3
9/10/22,242,3.110169492,3,33,142,51,7
9/11/22,226,3.133333333,0,47,110,59,9
9/12/22,282,3.168458781,1,41,153,78,6
9/13/22,280,3.131386861,6,45,139,75,9
9/14/22,262,3.119230769,1,41,151,60,7
9/15/22,311,3.174757282,6,38,167,92,6
9/16/22,265,3.162878788,2,47,123,90,2
9/17/22,233,3.068965517,5,28,149,46,4
9/18/22,232,3.091304348,1,44,120,63,2
9/19/22,271,3.166666667,3,45,128,92,2
9/20/22,276,3.197802198,2,36,145,86,4
9/21/22,260,3.298449612,2,27,126,98,5
9/22/22,266,3.246212121,2,37,128,88,9
9/23/22,256,3.15936255,7,33,135,65,11
9/24/22,228,3.04845815,3,49,116,52,7
9/25/22,265,3.128787879,2,47,132,81,2
9/26/22,327,3.13190184,3,57,163,100,3
9/27/22,300,3.162162162,4,42,159,84,7
9/28/22,298,3.250859107,1,34,160,83,13
9/29/22,294,3.228668942,6,37,144,96,10
9/30/22,267,3.243346008,1,24,154,78,6
10/1/22,230,3.022026432,3,43,127,54,0
10/2/22,254,3.115079365,6,32,143,69,2
10/3/22,308,3.082508251,12,46,155,85,5
10/4/22,253,3.115537849,1,49,124,74,3
10/5/22,248,3.199186992,1,31,136,74,4
10/6/22,285,3.159010601,1,44,150,85,3
10/7/22,275,3.2,1,40,137,88,4
10/8/22,240,3.008333333,5,43,139,51,2
10/9/22,261,3.169230769,4,26,155,72,3
10/10/22,311,3.283870968,2,30,162,110,6
10/11/22,298,3.182432432,1,45,153,93,4
10/12/22,271,3.154135338,4,37,145,74,6
10/13/22,260,3.1484375,4,39,137,67,9
10/14/22,254,3.145669291,4,30,152,61,7
10/15/22,263,3.114503817,2,39,153,63,5
10/16/22,258,3.116731518,1,37,153,63,3
10/17/22,311,3.216828479,0,39,169,96,5
10/18/22,294,3.237931034,1,31,159,96,3
10/19/22,283,3.156028369,1,36,167,74,4
10/20/22,274,3.183823529,1,36,157,68,10
10/21/22,284,3.209219858,4,34,145,97,2
10/22/22,246,3.18442623,4,36,120,79,5
10/23/22,250,3.204,3,35,124,84,4
10/24/22,298,3.249158249,1,45,132,117,2
10/25/22,287,3.176678445,2,33,162,85,1
10/26/22,277,3.229090909,2,28,155,85,5
10/27/22,303,3.144295302,4,39,170,80,5
10/28/22,251,3.157258065,4,31,139,70,4
10/29/22,261,3.215384615,0,31,144,83,2
10/30/22,267,3.255639098,0,31,138,95,2
10/31/22,259,3.233201581,2,29,131,90,1
11/1/22,282,3.189285714,1,34,160,81,4
11/2/22,285,3.180851064,1,35,161,82,3
11/3/22,246,3.1375,2,32,139,65,2
11/4/22,292,3.110344828,4,32,184,68,2
11/5/22,282,3.228571429,3,37,137,99,4
11/6/22,290,3.132404181,2,48,150,84,3
11/7/22,332,3.213166144,4,35,171,107,2
11/8/22,307,3.198675497,3,35,165,97,2
11/9/22,315,3.153354633,1,40,183,88,1
11/10/22,302,3.34551495,1,28,145,120,7
11/11/22,299,3.208053691,1,39,161,91,6
11/12/22,262,3.149425287,1,35,153,68,4
11/13/22,280,3.18705036,4,21,175,75,3
11/14/22,336,3.189759036,6,41,173,108,4
11/15/22,314,3.138709677,3,57,146,102,2
11/16/22,300,3.202702703,1,44,146,104,1
11/17/22,307,3.185430464,1,40,170,84,7
11/18/22,302,3.113333333,7,36,177,76,4
11/19/22,295,3.203389831,2,39,155,95,4
11/20/22,305,3.176666667,2,42,162,89,5
11/21/22,337,3.137724551,3,63,155,111,2
11/22/22,307,3.207920792,1,39,161,100,2
11/23/22,322,3.181818182,4,48,159,102,6
11/24/22,262,3.213178295,0,36,134,85,3
11/25/22,338,3.151335312,3,49,182,100,3
11/26/22,291,3.23183391,6,30,149,99,5
11/27/22,313,3.060897436,5,54,173,77,3
11/28/22,372,3.198369565,6,56,167,137,2
11/29/22,318,3.101587302,1,58,166,88,2
11/30/22,321,3.144654088,5,56,150,102,5
12/1/22,303,3.28,1,37,150,101,11
12/2/22,286,3.238596491,1,33,156,87,8
12/3/22,280,3.129496403,6,44,137,90,1
12/4/22,245,3.066390041,6,45,117,73,0
12/5/22,278,3.230769231,3,31,139,100,0
12/6/22,304,3.237458194,1,34,161,99,4
12/7/22,225,3.214285714,1,27,123,69,4
