date,arrive_num,acuity_avg
11/19/22,295,3.203389831
11/20/22,305,3.176666667
11/21/22,337,3.137724551
11/22/22,307,3.207920792
11/23/22,322,3.181818182
11/24/22,262,3.213178295
11/25/22,338,3.151335312
11/26/22,291,3.23183391
11/27/22,313,3.060897436
11/28/22,372,3.198369565
11/29/22,318,3.101587302
11/30/22,321,3.144654088
12/1/22,303,3.28
12/2/22,286,3.238596491
12/3/22,280,3.129496403
12/4/22,245,3.066390041
12/5/22,278,3.230769231
12/6/22,304,3.237458194
12/7/22,225,3.214285714
12/8/22,280,3.152173913
12/9/22,275,3.194139194
12/10/22,226,3.197309417
12/11/22,214,3.112676056
12/12/22,238,3.147058824
12/13/22,261,3.261538462
12/14/22,245,3.1
12/15/22,278,3.097472924
12/16/22,256,3.101960784
12/17/22,250,3.060240964
12/18/22,232,3.087336245
12/19/22,244,3.181069959
12/20/22,256,3.067193676
12/21/22,250,3.184
12/22/22,271,3.243445693
12/23/22,243,3.042553191
12/24/22,181,3.25
12/25/22,261,3.157480315
12/26/22,317,3.234177215
12/27/22,258,3.118577075
12/28/22,282,3.107526882
12/29/22,266,3.11627907
12/30/22,255,3.184313725
12/31/22,212,3.172248804
1/1/23,251,3.152610442
1/2/23,252,3.204819277
1/3/23,250,3.211382114
1/4/23,282,3.017793594
1/5/23,262,3.127413127
1/6/23,240,3.167364017
1/7/23,244,3.069672131
1/8/23,226,3.093333333
1/9/23,258,3.212
1/10/23,259,3.20233463
1/11/23,265,3.117424242
1/12/23,244,3.106557377
1/13/23,258,3.165354331
1/14/23,239,3.088983051
1/15/23,229,3.109649123
1/16/23,281,3.132142857
1/17/23,279,3.032258065
1/18/23,277,3.174545455
1/19/23,226,3.129464286
1/20/23,245,3.168032787
1/21/23,216,3.050925926
1/22/23,214,3.028037383
1/23/23,291,3.110726644
1/24/23,273,3.048327138
1/25/23,257,3.125490196
1/26/23,260,3.19844358
1/27/23,264,3.106870229
1/28/23,232,3.142241379
1/29/23,232,3.149779736
1/30/23,295,3.18707483
1/31/23,276,3.138181818
2/1/23,273,3.081784387
2/2/23,302,3.133333333
2/3/23,270,3.145522388
2/4/23,233,3.056277056
2/5/23,247,3.097165992
2/6/23,292,3.143835616
2/7/23,296,3.193877551
2/8/23,270,3.092936803
2/9/23,291,3.093425606
2/10/23,297,3.192567568
2/11/23,248,3.201612903
2/12/23,251,3.064
2/13/23,309,3.275080906
2/14/23,266,3.125
2/15/23,291,3.04467354
2/16/23,269,3.145522388
2/17/23,287,3.119298246
2/18/23,230,3.212389381
2/19/23,239,3.246861925
2/20/23,283,3.197879859
2/21/23,299,3.155405405
2/22/23,266,3.080152672
2/23/23,263,3.05
2/24/23,244,3.172131148
2/25/23,217,3.037037037
2/26/23,244,3.070247934
2/27/23,267,3.116981132
2/28/23,288,3.105263158
3/1/23,261,3.134099617
3/2/23,269,3.138059701
3/3/23,277,3.094890511
3/4/23,207,3.117073171
3/5/23,244,3.124481328
3/6/23,312,3.115755627
3/7/23,288,3.056338028
3/8/23,268,3.138059701
3/9/23,260,3.054054054
3/10/23,248,3.170040486
3/11/23,262,3.158301158
3/12/23,256,3.197628458
3/13/23,307,3.134868421
3/14/23,283,3.145907473
3/15/23,264,3.176245211
3/16/23,272,3.137037037
3/17/23,269,3.060150376
3/18/23,246,3.138211382
3/19/23,267,3.228464419
3/20/23,312,3.2
3/21/23,257,3.18972332
3/22/23,255,3.111111111
3/23/23,285,3.106761566
3/24/23,235,3.170940171
3/25/23,252,3.052631579
3/26/23,215,3.2
3/27/23,303,3.215753425
3/28/23,296,3.214285714
3/29/23,243,3.14957265
3/30/23,237,3.139830508
3/31/23,231,3.131004367
4/1/23,230,3.149779736
4/2/23,239,3.187234043
4/3/23,266,3.206896552
4/4/23,270,3.116104869
4/5/23,255,3.106299213
4/6/23,226,3.084070796
4/7/23,256,3.05078125
4/8/23,217,3.11682243
4/9/23,255,3.164658635
4/10/23,316,3.143769968
4/11/23,279,3.137681159
4/12/23,252,3.032
4/13/23,265,3.189393939
4/14/23,251,3.060240964
4/15/23,235,3.094017094
4/16/23,252,3.12
4/17/23,302,3.248344371
4/18/23,289,3.149825784
4/19/23,275,3.167883212
4/20/23,236,3.083333333
4/21/23,278,3.124542125
4/22/23,252,3.088709677
4/23/23,256,3.250980392
4/24/23,312,3.140522876
4/25/23,274,3.095588235
4/26/23,303,3.146666667
4/27/23,267,3.116981132
4/28/23,273,3.164179104
4/29/23,213,3.138095238
